Title,Content,Tags,Topics
Financial institutions (FIs) are willing to relax some of the covenants for term loans to infrastructure projects funded on recourse/non-recourse basis to improve loan offtake.,"Financial institutions (FIs) are willing to relax some of the covenants for term loans to infrastructure projects funded on recourse/non-recourse basis to improve loan offtake. The relaxations will depend on merits of individual cases.
 
 Officials said lock-in provisions could be one of the covenants expected to be relaxed. Currently, there is a lock-in for 51 per cent of the promoter's equity during debt repayment period.
 
 However, recent concession agreements for projects promoted by the Central and state governments, port trusts, municipal bodies and the National Highways Authority of India (NHAI), provide for dilution of between 26 and 33 per cent once projects enter into the operation and maintenance phase. These agreements insist on a 51 per cent equity lock-in only during the construction phase.
 
 Infrastructure Development Finance Corporation is probably the first to have offered the relaxation.
 
 Almost all the FIs are currently experiencing poor offtake of loans in view of some of the conditions insisted upon by them. These conditions include, physical asset cover to the extent of 150 per cent of the loan value, revenue escrow account, equity lock-in for promoters and corporate/debt service coverage ratio (DSCR) guarantees.
 
 These conditionalities have been turning promoters away from the FIs. Increasingly, promoters have been opting for securitised debt offerings. Such offerings are made in the form of debentures through private or public placements, with revolving letter of credit-backed guarantees from foreign banks. This allows subscription from provident funds and insurance companies.
 
 NHAI, a government agency, is one of the entities seeking relaxation in the lock-in criteria as financiers already had the first charge on revenue escrow accounts, obviating the need for a lock-in for promoters. Besides, some of the projects are to be promoted directly by NHAI through equity participation in special purpose vehicles and subsequently carrying out a phased divestment to raise resources for further investments.
 
 State Bank of India, which is financing the Moradabad bypass project, is not insisting on any lock-in for the National Highways Authority of India (NHAI), the promoter. 
 
 Insisting on lock-in would also inhibit the ability of promoters from refinancing and foreclosing project debt through issuance of instruments like fully convertible debentures and convertible preference shares.
 
 Foreign banks, which are prepared to either extend external commercial borrowings or provide long-term rupee loans or guarantees, do not insist on such lock-ins if projects conform to minimum DSCR requirements. 
 
 DSCR indicates the ability of a project to pay back debt. The minimum stipulated DSCR requirement
 currently stands at 1.5 times of the operating cash flows.
 
 Officials said instead of such lock-in, what was being insisted on part of the covenants is in the form of minimum DSCR requirements during the debt repayment period. 
 
 This is in the form of subordinated loans from the promoters themselves in the event of a shortfall in project revenues. Such arrangements were being facilitated to allow promoters to exit and allow for prepayment of  project debt.






","NHAI, State Bank of India, Moradabad, the National Highways Authority of India, Infrastructure Development Finance Corporation, DSCR, Central","said, rs, bank, per, would, india, banks, government, cent, also"
"Birla Mutual Fund has renamed Airla-Tax Plan, its open ended equity linked savaigs scheme (ELSS), as Biria Equity Plan.","Birla Mutual Fund has renamed Airla-Tax Plan, its open ended equity linked savaigs scheme (ELSS), as Biria Equity Plan. The scheme aims at achieving long-term growth of capital along with income tax relief for investors. BEP offers investors rebate under Section 88 of the Income Tax Act, 1961 @ 20 per cent on investments up to Rs 10,000 and 100 per cent exemption from Capital Gains Tax under Section 54EA and 54EB of the Income Tax Act 1961. 






","Capital Gains Tax, Birla Mutual Fund, Biria, ELSS, BEP, Airla-Tax Plan","said, rs, bank, per, would, india, banks, government, cent, also"
"UGS 10000, an interval fund of Unit Trust of India, will be open for sale and repurchase during February 7 to 14, 2000.","UGS 10000, an interval fund of Unit Trust of India, will be open for sale and repurchase during February 7 to 14, 2000. The sale and repurchase of units will be based on the NAV of the day on which the application is accepted (up to 2 pm) at branches or registrars. The NAV of UGS 10000 as on January 27, 2000 was Rs 16.85.






","Rs, NAV, Unit Trust of India","rs, per, said, cent, company, would, market, also, india, consumer, said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
"
 After 23 years, a US president has finally agreed to visit India -- and even he is coming only at the very end of his two terms in office.","
 After 23 years, a US president has finally agreed to visit India -- and even he is coming only at the very end of his two terms in office. These two facts can be interpreted in two ways. One is that India doesn't count for much in US calculations; the other is that it is now beginning to count, otherwise why would the American president bother? As for India, it has now finally understood that if you live in the river, you don't quarrel with the alligator. More than anything else, India's US policy is now driven by this realisation. Whether it likes it or not, it has to accommodate US interests. In return, it can hope for some reciprocation. If Indian demands fit in with overall US interests, the US will cooperate. If not, there's nothing that India can do about it.
 
 The US has always had two important foreign policy objectives. One is the prevention of nuclear proliferation so that it remains in control and its own security is not endangered. The other is enhanced market access. Under this overall rubric, there has also been a regional agenda for different regions. During the Cold War this sub-agenda was to ensure a diminution in Soviet influence; now it is to ensure that there are no regional wars. This it is doing by ""promoting"" democracy on the grounds that democracies are less likely to go to war with each other.
 
 Mr Clinton's visit has to be seen in this overall context and, if one makes a checklist, it turns out that non-proliferation and the prevention of a regional war remain fairly intractable. Mr Clinton had made the indefinite extension of the NPT and the signing of the CTBT the cornerstones of his non-proliferation agenda. India has refused to sign both but has conveyed enough signals to convince the US that it will, in the fullness of time, sign the CTBT. 
 
 That leaves just one major worry for the US: the possibility of a regional war in Kashmir. Before India and Pakistan conducted their nuclear tests, there was no real threat of a nuclear war. But now that their weapons are out in the open, one or the other may be pressured into doing the unthinkable. Kashmir will, therefore, form an important part of the agenda. The US will want to know how India intends to deal with the situation. The chances are that India will bleat on about Pakistan. But this is not enough, since it has only succeeded in convincing the world about Pakistan's role in Kashmir but not, however, about its own role there. 
 
 That is why it needs to move forward by presenting a concrete and actionable domestic agenda for the troubled valley. Sadly, such an agenda is not anywhere in sight. Worse, no one is even thinking about one, remaining content instead with the unsustainable status quo. Indeed, from India's point of view, the US should continue to deal with Pakistan -- a Clinton stopover included. Given the way bilateral ties have deteriorated rapidly, some degree of American pressure on Pakistan, applied directly, will encourage that benighted country to exercise some restraint.
 
 Other than that, little should be expected from the visit, as the US secretary of state has said quite bluntly, other than to signal in the broadest possible terms that India and the US are expressing an intent to work closer together






","the Cold War, Clinton, US, state, Pakistan, NPT, India, CTBT","said, rs, bank, per, would, india, banks, government, cent, also"
"
 The attempt to revise the takeover code in order to make it more effective has run into predictable problems because of the compromises that have been made over it in the past.","
 The attempt to revise the takeover code in order to make it more effective has run into predictable problems because of the compromises that have been made over it in the past. There is a basic clash between the interests of those who control businesses with fairly small levels of shareholding, and a code which seeks to protect small shareholders.
 
 If the code were to deliver its basic objective, it would become increasingly difficult for anyone to control a business with a small stake. As many of those currently controlling businesses do not have the resources to make public offers in order to hike their stake and improve their sense of security, the takeover code has been diluted to allow them to wriggle out of making public offers.
 
 One way of doing this has been to waive the need to make an open offer under the code in situations where there is a change of control, if 51 per cent of the shareholders agree to the change through an ordinary resolution. This is obviously not a happy situation for anyone interested in an effective code and so the proposal has come up, during the revision exercise, for the exemption to be allowed only if the resolution is passed by 75 per cent of shareholders. But this, it seems, has opened up a can of worms and may eventually lead Sebi into a degree of micro-management which can be in nobody's interest. For example, if the 75 per cent rule were to be introduced, it would be possible to change a director or directors with an ordinary resolution but a change in directors as a result of a change in control would require a special resolution. If the logic is stretched to its absurd limit it might require a public offer merely to change a managing director. 
 
 The review exercise is barking up the wrong tree. Instead of tightening exemptions, they should be removed altogether. The way to avoid such absurdities is to go back to the basics. The takeover code is meant to govern 'substantial acquisition of shares' and should concentrate on it. It is and should continue to come into play through the operation of certain trigger points. The conditions under which there would be an obligation to make a public offer should be made more stringent with time. Right now a very high annual creeping acquisition limit of 5 per cent is allowed, which negates the code but has been incorporated so as to enable those controlling businesses with low stakes to hike them cheaply. Similarly, there is no compulsion to make an unconditional offer -- that is, buy off anybody who comes forward -- once an offerer's holding goes beyond 50 per cent. This keeps out in the cold minority shareholders who miss the ambit of limited offers. There should be a sunset clause to such provisions.






",,"said, rs, bank, per, would, india, banks, government, cent, also"
"The fears of balkanisation can be put at rest after fifty years, writes Meghnad Desai
 
 The Afghan hijack in London proved whatever it was that India had not understood on facing up to hijackers.","The fears of balkanisation can be put at rest after fifty years, writes Meghnad Desai
 
 The Afghan hijack in London proved whatever it was that India had not understood on facing up to hijackers. The Taliban may have co-operated with Jaswant Singh","London, Meghnad Desai, Jaswant Singh, Taliban, India","rs, per, said, cent, company, would, market, also, india, consumer, said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
"
 The budget can make fundamental improvements, says  Sukumar Mukhopadhyay
 
 The Government having committed itself to the idea of introducing VAT from April 2001, must do a few things in this budget about changing the fundamental structure of the existing system of Modvat so that it can be a part of the overall system of VAT model.","
 The budget can make fundamental improvements, says  Sukumar Mukhopadhyay
 
 The Government having committed itself to the idea of introducing VAT from April 2001, must do a few things in this budget about changing the fundamental structure of the existing system of Modvat so that it can be a part of the overall system of VAT model. I have written earlier in the columns of this paper that Modvat could better be abolished. What I am now writing is that if Modvat has to continue at all, it must be improved fundamentally so that the 'Mod' (modified) can be dropped from Modvat and it can be VAT.
 
 That brings us to the question of how Modvat is different from a full-fledged VAT. The crucial difference is that while VAT is a tax on value added under any circumstances, Modvat is a tax on value added only if manufacture takes place. So manufacture is the essence of Modvat. Apart from this basic difference, there are other concomitant features which arose due to the system having started piece meal in 1986 and culminating in 1999. So the year 2000 will be a good time to give it an extra push to make it Y2K compliant.
 
 The system of Modvat as it is now has degenerated into one where allowing credit for the input paid is done only on a case to case basis. For each input such as humidifier used in the textile mills for keeping the texture soft; glass bottles for filling in them soft drinks; alternator for generating set; static converter panel for speed control and innumerable other items, the issues have travelled to the tribunal. Any man of common prudence can judge them as needed for manufacture but they become the subject matter for decision by the commissioner and the tribunal. 
 
 So the journey in each case becomes expensive and tedious. This inevitably leads to squaring up issues at the lower level, which is the other name of corruption. This sort of issues regarding admissibility of credit and other technical cum procedural issues constitute 87 per cent of all so-called offence cases detected while substantial cases are 7 per cent and clearly fraudulent cases are 6 per cent. This has been revealed by an empirical study made by the NIPFP on the basis of data for January 1994 to July 1995 (VAT in India ""” a progress report p 39).
 
 The basic conceptual problem in Modvat is the definition of manufacture, which has been subject to varying interpretations over the decades making it one of the most litigated subjects. There is no finality or stability. In the last five years or so the Supreme Court has given such crucial judgments on the subject that the whole concept has undergone change leading to tremendous readjustments in the fiscal structure. 
 
 In one judgment (C.C.E Bombay vs Fine Chemicals 1995 vol. 77 ELT 49 SC) the Supreme Court said that even artificial definitions are permissible which high courts and the Supreme Court have been opposing consistently in the past. In another (Sirpur Paper Mills vs C.C.E.Hyderabad 1998 vol. 97 ELT 3 SC) the Supreme Court has laid down that even complete plants erected at site are marketable goods ignoring other previous judgments of the same court to the contrary. 
 
 Such earthshaking judgments of the concept of manufacture make credit of input duty a highly unsure proposition. To remove all the controversies and to introduce full VAT at the same time we need to allow the input credit for the final product on the basis of ""use in the factory"" rather than for ""use in manufacture"" as now. Machines to check pollution or chemicals to neutralise the effluents to make the factories eco-friendly are not entitled to credit of excise duty paid on them at present. The suggestion above will solve that problem also.
 
 The controversies relating to the concept of input and capital goods leading to interpretation problems about admissibility of credit of duty paid on them cannot be solved by giving clarifications by the board or judgments by the tribunal. This can be done only by declaring that all goods which are used in the factory are subject to credit of duty paid on them except those which are in a list called Negative List. This may include petrol, diesel, computer and air conditioner used in office, etc. This will fundamentally change the structure of Modvat into VAT at one stroke.
 
 Some procedural changes are also needed for this conversion. An important thing to be done is to rewrite the rules regarding Modvat by scrapping the existing maze created over the last 14 years. The distinction between inputs and capital goods is to be abolished which by itself will make them simpler. This will eliminate the mystery created by 57Q. Rules for reversion of credit (57cc) will not be necessary if exemptions in a factory are not allowed and if the factory also makes dutiable goods for which it takes credit. 
 
 There has to be also some restructuring of the tariff in consonance with the need for VAT. Most of the exemptions have to be removed as they destroy the neutrality and bring distortion (Allan Tait-VAT ""” Practice and Problems p 221 and Hemming and Kay in VAT- Lessons from Europe). The tariff has to also have just three rates in place of the five now. Also in the same chapter, the same rate of duty should be there as far as possible. Without a simple and transparent tariff the operation of VAT will not derive the full benefit. 
 
 The conclusion is that Modvat can be converted into a full-fledged VAT only by
 
 changing over from the concept of taxing the value added due to manufacture; 
 
 substituting the concept of manufacture by the concept of use; l making all goods subject to credit by a sweeping move except in the case of goods in the Negative List ;
 
 removing distinction between capital goods and inputs for purposes of input credit; 
 
 having the same Rules for both of them; 
 
 simplifying the excise tariff drastically removing the exemptions which cause distortion and reduce the neutrality of tax; and 
 
 adopting document based audit control in place of counter signature of invoices. 
 
 This budget must do the needful now rather than keep it for the next year. 






","SC, VAT, Sirpur Paper Mills, Modvat, Sukumar Mukhopadhyay, ELT, Kay, Mod, NIPFP, the Supreme Court, Allan Tait-VAT, India, Problems p","per, cent, said, also, market, company, india, bank, rs, would"
Retailing could be the next big boom area.,"Retailing could be the next big boom area. N Mahalakshmi checks out what it holds for investors
 
 They quite elbowed out the friendly neighbourhood small store yet or the more earthy government-owned Apna Bazar and Super Bazar. But large retail stores are certainly beginning to dominate urban Indian landscapes, courtesy the large business houses that have entered the business in the last decade. There","N Mahalakshmi, Super Bazar, Apna Bazar","per, cent, said, also, market, company, india, bank, rs, would"
Elliot Wave Theory is a specialised area of technical analysis.,"Elliot Wave Theory is a specialised area of technical analysis. Vivek Patil uses Neely's modifications to extrapolate the Sensex's moves from here into the long-term future.
 
 In a series of articles published in The Smart Investor starting July 7, 1997, it was predicted by means of Neely-Modified Elliot Wave analysis that the Sensex would achieve a minimum target of 5545 points by January 2000. Since that target has been exceeded by the Large X wave currently in force, another update is in order.
 
 The previous article in this series (The Smart Investor, 26th July 1999) gave long term projections. An updated analysis suggests that the Sensex could have an upside of about 25 per cent (7100 point levels) before this Large-X terminates. Then there will be a powerful retracement pulling it back to 5200 levels. This will be followed by a powerful surge to 45,000 points by 2025.
 
 Let us start with a recap on the Super-Cycle Degree Wave Count which was calculated on the RBI Shares Index. The Super-Cycle degree wave 1 finished in the year 1946.
 
 This was followed by the corrective wave 2 till 1983 (37 years). The wave 3 commenced in April 1983, and the ""Cycle"" degree wave-1 within it finished in September 1994. From September 1994 onwards, we have been in the Cycle degree wave-2, which will complete only after 2002.
 
 A close examination of this Cycle degree Wave 2 is in order. This was projected to be a ""Complex Corrective"" involving two standard correctives separated by a large-X wave. The first corrective was a ""C Failure Flat"" from September 1994 to April 1999. Within this, the wave-b was an ""Expanding Triangle"" and wave-c was a ""Terminal Impulse with 5th Failure"" ending at 3183 points in April 1999.
 
 A re-examination of the cap on the Large -X Wave: By definition, a ""Large-X"" should see a minimum 1.618 times move from the first corrective end, which gave the minimum earlier target of 5545. This has been achieved. Its internal construction would alternate with the first corrective, which was a Flat. Therefore, the current ""Large-X"" should be a ""Zigzag"" or a ""Double Zigzag"".
 
 What's happening now?
 
 Remember that 5545 was the 1.618 ""Minimum"" target for the Large X, and it could go up in Fibonacci ratios to a level of 7100 points, which would be a 2.618 ratio to the first corrective. If such a case occurs, we are currently only in the middle of the Large X wave as shown in the projection in Chart 1. After consolidating at this current level of about 5700, we (5400) might see a further movement beyond 7000 as shown.
 
 Whipsaws
 
 Within the Large X wave, one would normally see whipsaws where some new stocks and sectors would skyrocket while erstwhile pivotals languished. Thus the trading strategy, therefore, is necessarily dictated by the individual stock/sector specific stories.
 
 Warning
 
 All Large X waves usually end with a ""Terminal"" or ""5th failure"" which generates a sharp fall. This fall retraces almost exactly 50 per cent of the entire Large X. In case of the Sensex, assuming X finishes off around 7100, then the fall would be 50 per cent retracement of 3183 to 7100, i.e. around 2000 points. In this fall, there would be all-round value erosion.
 
 Stand warned on this account. Regardless of the exact level at which the Large X terminates, a 50 per cent retracement is likely and calculated by half the move from 3183 to the top.
 
 We see a famous historical examples in chart 3 of the American Dow Jones Industrial Averages. Such falls occurred in the Crash of 1929 as well as in the Crash of 1987. Both came at the end of a Large X within the 2nd wave. It was a Super-cycle degree in 1929 and a Cycle degree in 1987 respectively. Both these falls were 50 per cent of the respective Large X waves.
 
 Back to the Future
 
 After the Large X, the second corrective would occur for next 2-3 years. The sharp fall after Large X will only be the ""a"" leg of the second corrective. The second corrective would possibly be a Triangle and would terminate only after the year 2002. Once the Cycle degree wave-2 is over (sometime after 2002), the Cycle degree 3rd of the Super-Cycle degree 3rd would commence. In this most dynamic phase, the Sensex should definitely cross 45,000 in a surge that peaks before the year 2025.
 
 Importance of the Perspective
 
 Such long-term wave counts and projections are basics for policy-makers and visionaries, who have long-term plans. As Sensex is the indicator of what can be expected in the economic future, the projections could well have an important bearing on their strategies.
 
 Traditional method v/s Neely method
 
 To calculate this wave-count and projection, I have employed the Neely method, which is more involved, and uses a more complex set of rules. Some people may find this difficult to follow but it greatly reduces the chances of errors. Other analysts may use the simple basic rules in the traditional method of Elliott Wave Analysis developed by R.N.Elliott, and later popularised by Robert Prechter.
 
 As Neely says : "" NEoWave (via the Neely method) can be compared to Elliott Wave Analysis in the same way as calculus is different from algebra. Nothing about calculus negates algebra, it is just more complex, allowing for the solving of more complex problems.""
 
 An interesting long-term controversy has developed about the two methods and their application to Wall Street. Employing the traditional method against Neely method, one can make two different wave counts. In the case of the DJIA, Neely was totally bullish over the last 8 years, saying that the Dow should cross 1,00,000 points by the year 2060. 
 
 Whereas, Prechter has been totally bearish during the same period, saying DJIA should actually fall below the 1000 level. Even at the current levels of above 11000 points, Prechter continues to be bearish. He says, ""A major, indeed historic, downturn is developing"". It would be interesting to see who is right.
 
 But what if everyone knows?
 
 Some people have expressed doubts about the efficacy of market action according to projections, when the same projections are common knowledge to all. But the Wave Theory is a Natural Phenomenon. Just as no one can change the laws of Nature, wave projections cannot be changed, although they can become more complex. Neely believes: ""As too 
 
 many people have tried to apply Elliott Wave Theory, the markets have just enhanced the complexity level of patterns to keep most 
 people in the dark. "" 
 
 (Vivek Patil is a technical analyst and creator of the Advanced Stock Analysis (ASA) Program. Email: vivekp@bom3.vsnl.net.in )






","Elliot Wave Theory, Large X, Large X., Elliott Wave Theory, Vivek Patil, Neely-Modified Elliot Wave, Super, the Advanced Stock Analysis, Terminal Impulse, Stand, Fibonacci, Whipsaws, Zigzag, RBI, Neely, a ""Complex Corrective, R.N.Elliott, the Wave Theory, Dow, Chart 1, Triangle, Sensex, Robert Prechter, Elliott Wave Analysis","per, cent, said, also, market, company, india, bank, rs, would"
Buy Sensex stocks above Friday,Buy Sensex stocks above Friday,Buy Sensex,"rs, per, said, cent, company, would, market, also, india, consumer, said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
